cohort,feature,rows,present_rows,coverage,first_seen
probability_calibration,installment,14101,14101,1.0,2011-01-01
censored_extension,int_rate,88227,88227,1.0,2017-07-01
conformal_fit,int_rate,49007,49007,1.0,2012-01-01
maturity_gap,int_rate,541863,541863,1.0,2014-01-01
pd_development,int_rate,17433,17433,1.0,2007-06-01
policy_development,int_rate,94885,94885,1.0,2013-02-01
post_extension,int_rate,877671,877671,1.0,2017-10-01
primary_oot,int_rate,376890,376890,1.0,2016-04-01
probability_calibration,int_rate,14101,14101,1.0,2011-01-01
censored_extension,last_credit_pull_d,88227,88226,0.9999886656012332,2017-07-01
conformal_fit,last_credit_pull_d,49007,49007,1.0,2012-01-01
maturity_gap,last_credit_pull_d,541863,541837,0.99995201739185,2014-01-01
pd_development,last_credit_pull_d,17433,17429,0.9997705501061206,2007-06-01
policy_development,last_credit_pull_d,94885,94877,0.9999156874110766,2013-02-01
post_extension,last_credit_pull_d,877671,877658,0.9999851880716123,2017-10-01
primary_oot,last_credit_pull_d,376890,376879,0.9999708137652896,2016-04-01
probability_calibration,last_credit_pull_d,14101,14101,1.0,2011-01-01
censored_extension,last_fico_range_high,88227,88227,1.0,2017-07-01
conformal_fit,last_fico_range_high,49007,49007,1.0,2012-01-01
maturity_gap,last_fico_range_high,541863,541863,1.0,2014-01-01
pd_development,last_fico_range_high,17433,17433,1.0,2007-06-01
policy_development,last_fico_range_high,94885,94885,1.0,2013-02-01
post_extension,last_fico_range_high,877671,877671,1.0,2017-10-01
primary_oot,last_fico_range_high,376890,376890,1.0,2016-04-01
probability_calibration,last_fico_range_high,14101,14101,1.0,2011-01-01
censored_extension,last_fico_range_low,88227,88227,1.0,2017-07-01
conformal_fit,last_fico_range_low,49007,49007,1.0,2012-01-01
maturity_gap,last_fico_range_low,541863,541863,1.0,2014-01-01
pd_development,last_fico_range_low,17433,17433,1.0,2007-06-01
policy_development,last_fico_range_low,94885,94885,1.0,2013-02-01
post_extension,last_fico_range_low,877671,877671,1.0,2017-10-01
primary_oot,last_fico_range_low,376890,376890,1.0,2016-04-01
probability_calibration,last_fico_range_low,14101,14101,1.0,2011-01-01
censored_extension,last_pymnt_amnt,88227,88227,1.0,2017-07-01
conformal_fit,last_pymnt_amnt,49007,49007,1.0,2012-01-01
maturity_gap,last_pymnt_amnt,541863,541863,1.0,2014-01-01
pd_development,last_pymnt_amnt,17433,17433,1.0,2007-06-01
policy_development,last_pymnt_amnt,94885,94885,1.0,2013-02-01
post_extension,last_pymnt_amnt,877671,877671,1.0,2017-10-01
primary_oot,last_pymnt_amnt,376890,376890,1.0,2016-04-01
probability_calibration,last_pymnt_amnt,14101,14101,1.0,2011-01-01
censored_extension,last_pymnt_d,88227,88087,0.9984131841726456,2017-07-01
conformal_fit,last_pymnt_d,49007,48953,0.9988981165955884,2012-01-01
maturity_gap,last_pymnt_d,541863,541458,0.9992525786038168,2014-01-01
pd_development,last_pymnt_d,17433,17392,0.9976481385877359,2007-06-01
policy_development,last_pymnt_d,94885,94808,0.9991884913316119,2013-02-01
post_extension,last_pymnt_d,877671,875157,0.9971356009256316,2017-10-01
primary_oot,last_pymnt_d,376890,376412,0.9987317254371302,2016-04-01
probability_calibration,last_pymnt_d,14101,14077,0.9982979930501383,2011-01-01
censored_extension,loan_amnt,88227,88227,1.0,2017-07-01
conformal_fit,loan_amnt,49007,49007,1.0,2012-01-01
maturity_gap,loan_amnt,541863,541863,1.0,2014-01-01
pd_development,loan_amnt,17433,17433,1.0,2007-06-01
policy_development,loan_amnt,94885,94885,1.0,2013-02-01
post_extension,loan_amnt,877671,877671,1.0,2017-10-01
primary_oot,loan_amnt,376890,376890,1.0,2016-04-01
probability_calibration,loan_amnt,14101,14101,1.0,2011-01-01
censored_extension,loan_status,88227,88227,1.0,2017-07-01
conformal_fit,loan_status,49007,49007,1.0,2012-01-01
maturity_gap,loan_status,541863,541863,1.0,2014-01-01
pd_development,loan_status,17433,17433,1.0,2007-06-01
policy_development,loan_status,94885,94885,1.0,2013-02-01
post_extension,loan_status,877671,877671,1.0,2017-10-01
primary_oot,loan_status,376890,376890,1.0,2016-04-01
probability_calibration,loan_status,14101,14101,1.0,2011-01-01
censored_extension,max_bal_bc,88227,88227,1.0,2017-07-01
conformal_fit,max_bal_bc,49007,0,0.0,
maturity_gap,max_bal_bc,541863,111012,0.20487097292119963,2015-12-01
pd_development,max_bal_bc,17433,0,0.0,
policy_development,max_bal_bc,94885,0,0.0,
post_extension,max_bal_bc,877671,877671,1.0,2017-10-01
primary_oot,max_bal_bc,376890,376890,1.0,2016-04-01
probability_calibration,max_bal_bc,14101,0,0.0,
censored_extension,mo_sin_old_il_acct,88227,85283,0.9666315300304895,2017-07-01
conformal_fit,mo_sin_old_il_acct,49007,25127,0.5127226722713082,2012-08-01
maturity_gap,mo_sin_old_il_acct,541863,522912,0.9650262151134142,2014-01-01
pd_development,mo_sin_old_il_acct,17433,0,0.0,
policy_development,mo_sin_old_il_acct,94885,90835,0.9573167518575117,2013-02-01
post_extension,mo_sin_old_il_acct,877671,846638,0.9646416481802407,2017-10-01
primary_oot,mo_sin_old_il_acct,376890,365451,0.9696489691952559,2016-04-01
probability_calibration,mo_sin_old_il_acct,14101,0,0.0,
