learner,learner_label,window,window_id,taxonomy_groups,score_stratum,conformal_group,alpha,fit_rows,fit_defaults,fit_default_prevalence,finite_sample_rank,boundary_count,phase_boundary_rate,phase_margin,phase_prevalence_at_or_below_boundary,frozen_threshold,threshold_below_half,max_score_below_half_condition,target_candidate_rows,target_score_max,positive_label_boundary,target_max_below_positive_label_boundary,positive_label_excluded_from_every_target_set,target_resolved_rows,target_resolved_misses,resolved_misses_in_exclusion_strata,resolved_misses_all_strata,exclusion_strata_resolved_miss_fraction
catboost_platt,CatBoost,W7,w07_2012m07_m12,5,4,3,0.1,7430,1118,0.1504710632570659,6688,742,0.09986541049798116,376,False,0.8604327334944422,False,True,80235,0.1532609213726591,0.13956726650555784,False,False,77819,10357,17319,47615,0.36372991704294866
catboost_platt,CatBoost,W7,w07_2012m07_m12,5,5,4,0.1,8051,1604,0.1992299093280337,7247,804,0.09986337100981245,800,False,0.8109305281057975,False,True,77223,0.5544847575803251,0.18906947189420253,False,False,74890,8744,17319,47615,0.36372991704294866
catboost_platt,CatBoost,W8,w08_2012m08_2013m01,5,1,0,0.1,2847,132,0.0463645943097997,2564,283,0.09940288022479803,-151,True,0.0486584140925409,True,True,60520,0.0502639837473318,0.9513415859074591,True,True,58445,7361,28608,48938,0.5845764027953737
catboost_platt,CatBoost,W8,w08_2012m08_2013m01,5,2,1,0.1,4572,324,0.0708661417322834,4116,456,0.09973753280839895,-132,True,0.0796435411922613,True,True,79865,0.080368886853859,0.9203564588077386,True,True,77165,9771,28608,48938,0.5845764027953737
catboost_platt,CatBoost,W8,w08_2012m08_2013m01,5,3,2,0.1,6238,606,0.0971465213209362,5616,622,0.09971144597627445,-16,True,0.1118010883671265,True,True,79047,0.1118929639718075,0.8881989116328735,True,True,76495,11476,28608,48938,0.5845764027953737
catboost_platt,CatBoost,W8,w08_2012m08_2013m01,5,4,3,0.1,7820,1129,0.1443734015345268,7039,781,0.09987212276214834,348,False,0.8592335766105592,False,True,80235,0.1532609213726591,0.1407664233894408,False,False,77819,10741,28608,48938,0.5845764027953737
catboost_platt,CatBoost,W8,w08_2012m08_2013m01,5,5,4,0.1,8652,1654,0.191169671752196,7788,864,0.09986130374479889,790,False,0.8061960123826506,False,True,77223,0.5544847575803251,0.1938039876173494,False,False,74890,9589,28608,48938,0.5845764027953737
numeric_logistic_platt,Numeric logistic,W1,w01_2012m01_m06,5,1,0,0.1,1626,70,0.043050430504305,1465,161,0.0990159901599016,-91,True,0.0558455068891937,True,True,48646,0.0568557287272218,0.9441544931108063,True,True,47005,5387,10882,39014,0.2789255139180807
numeric_logistic_platt,Numeric logistic,W1,w01_2012m01_m06,5,2,1,0.1,2452,200,0.0815660685154975,2208,244,0.09951060358890701,-44,True,0.0810087084692815,True,True,55311,0.0813865809621454,0.9189912915307185,True,True,53433,5495,10882,39014,0.2789255139180807
numeric_logistic_platt,Numeric logistic,W1,w01_2012m01_m06,5,3,2,0.1,2724,309,0.1134361233480176,2453,271,0.09948604992657856,38,False,0.8954712290162469,False,True,70157,0.1079643670749323,0.10452877098375313,False,False,67884,6984,10882,39014,0.2789255139180807
numeric_logistic_platt,Numeric logistic,W1,w01_2012m01_m06,5,4,3,0.1,3497,501,0.1432656562768087,3149,348,0.09951386903059765,153,False,0.8649328079682392,False,True,87008,0.1473989655363499,0.13506719203176076,False,False,84316,9483,10882,39014,0.2789255139180807
