learner,learner_label,window_id,score_stratum,fit_rows,target_rows,resolved_rows,unresolved_rows,completion_directional_ks_denominator,calibration_minus_target_ks_min,calibration_minus_target_ks_max,target_minus_calibration_ks_min,target_minus_calibration_ks_max,calibration_minus_target_ks_min_numerator,calibration_minus_target_ks_max_numerator,target_minus_calibration_ks_min_numerator,target_minus_calibration_ks_max_numerator,sharp_directional_discrepancy_comparison,v5_q_and_coverage_reconciled
numeric_logistic_platt,Numeric logistic,w05_2012m05_m10,5,9155,115768,112176,3592,1059856040,0.0806312779988497,0.1060960005473951,0.0004435998685255,0.000766775834952,85457547,112446487,470152,812672,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w06_2012m06_m11,1,2160,48646,47005,1641,105075360,0.0289678189063544,0.0616977567338336,0.1249292127098113,0.1318139476276836,3043804,6482914,13126982,13850398,smaller_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w06_2012m06_m11,2,3184,55311,53433,1878,176110224,0.0135003632724923,0.0467873801580083,0.0029891847732815,0.0069847733542148,2377552,8239736,526426,1230090,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w06_2012m06_m11,3,4335,70157,67884,2273,304130595,0.0162393954478667,0.0481421476191831,0.0113541848691678,0.0246089052632143,4938897,14641500,3453155,7484321,directional_discrepancies_not_robustly_ordered,True
numeric_logistic_platt,Numeric logistic,w06_2012m06_m11,4,6610,87008,84316,2692,575122880,0.0262269760507528,0.0568525390608699,0.0079927267021614,0.018811739849404,15083734,32697196,4596800,10819062,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w06_2012m06_m11,5,10396,115768,112176,3592,1203524128,0.0835714396246819,0.1092752666442595,0.0004923640384216,0.000873066003044,100580244,131515420,592572,1050756,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w07_2012m07_m12,1,2122,48646,47005,1641,103226812,0.0285662798537263,0.0605803654965146,0.1261130877508839,0.134522569582019,2948806,6253518,13018252,13886336,smaller_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w07_2012m07_m12,2,3332,55311,53433,1878,184296252,0.017946013356799,0.0516030190348092,0.0070694600994924,0.0110722978783095,3307383,9510243,1302875,2040583,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w07_2012m07_m12,3,4645,70157,67884,2273,325879265,0.0216405852026209,0.054036389826766,0.0055483401191542,0.0195495776633717,7052218,17609339,1808089,6370802,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w07_2012m07_m12,4,7070,87008,84316,2692,615146560,0.0336751033769903,0.0644653755358723,0.0080310227208293,0.0177530148262553,20715124,39655654,4940256,10920706,larger_target_residual_discrepancy_dominates,True
